X	Axis1	Axis2
M1	0.270521931441085	0.414967697251207
M2	-0.947520029883299	0.0693050170655631
M3	0.450326946658819	0.400406882315306
M5	0.0227279511944254	0.285084594406998
M6	-0.217031029882772	0.29844690849594
M7	0.45591034121236	0.30781795571636
M8	0.683316154734795	0.176698596317261
M9	0.616161484034814	-0.467386192736555
M10	-0.857231341971024	-0.176017646992225
M11	0.565983176171291	-0.103194666990728
M12	-0.827135112666933	-0.257791868344821
M13	-0.171348257086933	-0.351401207955633
M14	0.0127373080547953	0.328498772444449
M15	0.659860392764683	-0.167679096327831
M16	-0.335750944472548	0.7212516144096
M17	0.319970774385845	-0.0303416864239844
M19	0.537070838721044	0.601696177778775
M21	0.250574499941344	0.335380788402918
M22	-1.09449760285728	0.0953269852841327
M23	0.477713351403503	-0.0528343641178916
M24	0.3152723590121	-0.305706956584274
M25	0.526379331080642	0.48408010954826
M26	-0.21664753948351	0.375949491354245
M27	0.398621651686723	0.012140792523127
M29	-1.10552878983033	-0.00504390030913941
M31	-0.8479464667845	0.133326700517149
M32	-0.955047643309872	-0.41391500707212
M33	-0.824542522335679	0.0293232169003231
M34	-0.019374401512294	0.128734940051164
M35	0.409612377732526	-0.291497941936293
M36	0.826424969600095	0.144170081548313
M38	-0.178761156989524	-0.288380911138764
M39	0.58496269749919	0.346642800651429
M40	0.0692975742475203	-0.633022094150822
M41	0.555100399962212	0.479519293247029
M42	0.788651554287598	-0.0984937959146868
M43	-0.718744537915837	0.0133696201301311
M44	0.463846671190773	-0.381920461396859
M47	0.743426930112159	-0.327096645463776
M48	-1.11198446696403	-0.10653349384112
M49	0.119431433494791	0.701347168870241
M50	0.654283346510963	-0.356106528173966
M52	-0.737531750221732	0.0524915748314013
M53	0.463005366829935	-0.410914437693563
M54	0.490697249808482	-0.334646573872371
M55	-0.271685447039995	-0.0664810356609459
M57	0.370247133145248	0.175934196487802
M58	0.550889708416665	-0.498195016577563
M59	-0.378362468960432	0.0271366285019678
M60	-0.833590789800629	-0.359281461876802
M62	0.414375961830478	-0.250336174842639
M63	-0.0176610898434065	-0.492045579342416
M64	-0.718430901750017	0.260118760358734
M65	0.330319070652628	-0.335576684758433
M66	0.377844648865282	0.163018770107564
M67	-0.947520029883299	0.0693050170655631
M68	0.396469477150752	-0.39170569923158
M69	0.10944183906981	0.498884343502435
M70	0.532222850765465	0.485112832940572
M73	0.195926306556313	-0.591369674690541
M76	-0.941064352749603	0.170794610597544
M77	-0.87227945662307	-0.135130536315927
M78	0.137592070591393	-0.106235598889236
